open_time_ms,open,high,low,close,volume,close_time_ms,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1769971920000,77830.07000000,77830.07000000,77727.27000000,77762.00000000,10.02328000,1769971979999,779513.27412540,4412,2.89176000,224812.78517570,0
1769971980000,77762.00000000,77803.09000000,77737.80000000,77803.09000000,5.60169000,1769972039999,435623.09449710,3289,3.52083000,273816.18530970,0
1769972040000,77803.08000000,77833.47000000,77803.08000000,77833.46000000,1.98715000,1769972099999,154618.48911970,2382,0.96662000,75212.48404390,0
1769972100000,77833.47000000,77840.64000000,77793.55000000,77811.72000000,4.50481000,1769972159999,350557.98509230,3654,2.34976000,182850.68043270,0
1769972160000,77811.72000000,77827.82000000,77760.00000000,77827.82000000,6.29917000,1769972219999,490028.92164540,4496,5.07481000,394776.31114800,0
1769972220000,77827.81000000,77832.00000000,77805.76000000,77813.34000000,3.85204000,1769972279999,299771.79385750,1686,1.22574000,95383.45812920,0
1769972280000,77813.39000000,77832.01000000,77810.00000000,77815.37000000,2.05251000,1769972339999,159736.34714100,2099,0.76011000,59151.00654220,0
1769972340000,77815.37000000,78060.39000000,77815.36000000,78029.28000000,22.47214000,1769972399999,1752154.40335640,6972,18.71417000,1459047.70491770,0
1769972400000,78029.29000000,78106.10000000,78000.00000000,78000.01000000,9.58978000,1769972459999,748541.22168470,6542,4.75472000,371167.10645040,0
1769972460000,78000.00000000,78005.01000000,77917.06000000,77921.99000000,8.72595000,1769972519999,680280.80198930,5967,2.67202000,208289.90246270,0
1769972520000,77921.98000000,77924.17000000,77860.87000000,77892.28000000,9.59087000,1769972579999,747002.26305780,3153,2.82948000,220356.76520270,0
1769972580000,77892.28000000,77892.28000000,77828.01000000,77828.02000000,8.93493000,1769972639999,695529.80924240,3396,2.78403000,216710.80166490,0
1769972640000,77828.02000000,77828.02000000,77786.41000000,77806.98000000,4.72218000,1769972699999,367419.19057300,4017,1.59544000,124134.21059600,0
1769972700000,77806.98000000,77806.98000000,77760.00000000,77763.82000000,5.67445000,1769972759999,441344.38812620,3389,1.06778000,83050.33006360,0
